1699826007556284,0,399805,19.884526,279
1699826007572397,1,1030,5.968059,281
1699826007588366,2,1674,8.470143,281
1699826007599854,3,2369,3.506726,291
1699826007618763,4,13478,5.646644,291
1699826007633545,5,14138,3.836722,301
1699826007659609,6,16869,3.431518,313
1699826007693349,7,11339,3.262106,321
1699826007726611,8,10175,2.535737,329
1699826007759723,9,14024,2.474971,339
1699826007793964,10,14426,2.733641,349
1699826007825871,11,12978,2.475924,358
1699826007864237,12,14802,2.502675,369
1699826007892413,13,10842,2.574429,377
1699826007928136,14,46336,3.162686,409
1699826007961186,15,58934,3.160291,450
1699826007995960,16,50716,3.180961,485
1699826008029119,17,62456,3.560467,529
1699826008063130,18,61235,3.447173,572
1699826008096095,19,58202,3.411321,613
1699826008130313,20,55599,3.630910,652
1699826008166416,21,73621,4.139166,703
1699826008199799,22,72942,4.097185,754
1699826008233898,23,91912,4.429581,818
1699826008305561,24,149871,5.820313,1037
1699826008314673,25,165835,6.161910,1037
1699826008372757,26,175686,5.710020,1320
1699826008383083,27,234774,7.270903,1320
1699826008438631,28,190615,5.947150,1569
1699826008447610,29,169264,6.362077,1569
1699826008504949,30,138348,5.637218,1770
1699826008513938,31,152012,6.488139,1770
1699826008574285,32,196177,6.645161,2064
1699826008585875,33,229383,7.378368,2064
1699826008645162,34,245251,7.838304,2370
1699826008656159,35,198148,7.448868,2370
1699826008680839,36,199159,6.543075,2508
1699826008708727,37,151207,5.559584,2613
1699826008775252,38,231760,6.968551,2935
1699826008786620,39,234855,8.302958,2935
1699826008840563,40,147995,6.661433,3037
1699826008876396,41,173932,7.212060,3291
1699826008887942,42,193157,8.608680,3291
1699826008913020,43,146821,7.909437,3393
1699826008946626,44,267127,8.332025,3577
1699826009008531,45,243946,7.521902,3746
1699826009043787,46,234488,6.793677,4081
1699826009054460,47,250876,7.607773,4081
1699826009104937,48,166727,6.002368,4279
1699826009112822,49,119622,5.395828,4279
1699826009144001,50,185695,6.483448,4407
1699826009207466,51,212723,6.828840,4554
1699826009242785,52,176651,6.237151,4676
