1699826007492239,0,45000,399805,76.956000,0,0,0.00
1699826007516864,1,45000,1030,11.982000,0,0,0.00
1699826007535884,2,45000,1674,12.065000,78,0,24.58
1699826007556322,3,45000,2369,10.267000,129,0,0.09
1699826007591427,4,45000,13478,11.768000,129,0,0.07
1699826007625138,5,45000,14138,13.167000,129,0,0.05
1699826007656029,6,45000,16869,10.361000,129,0,0.04
1699826007689940,7,45000,11339,9.490000,129,0,0.08
1699826007723969,8,45000,10175,9.736000,129,0,0.13
1699826007757036,9,45000,14024,10.053000,129,0,0.05
1699826007791050,10,45000,14426,10.772000,129,0,0.09
1699826007823292,11,45000,12978,11.265000,129,0,0.10
1699826007861566,12,45000,14802,10.818000,129,0,0.05
1699826007889676,13,45000,10842,10.147000,129,0,0.09
1699826007924810,14,45000,46336,11.336000,129,0,0.10
1699826007957799,15,45000,58934,11.352000,129,0,0.06
1699826007992573,16,45000,50716,12.676000,129,0,0.16
1699826008025289,17,45000,62456,12.567000,129,0,0.06
1699826008059444,18,45000,61235,13.389000,129,0,0.11
1699826008092509,19,45000,58202,13.468000,129,0,0.12
1699826008126449,20,45000,55599,13.967000,129,0,0.06
1699826008161991,21,45000,73621,16.219000,129,0,0.12
1699826008195505,22,45000,72942,16.645000,129,0,0.13
1699826008229162,23,45000,91912,16.983000,129,0,0.08
1699826008264967,24,45000,149871,19.431000,129,0,0.16
1699826008299303,25,45000,165835,19.258000,129,0,0.18
1699826008334787,26,45000,175686,20.627000,140,0,0.04
1699826008366356,27,45000,234774,20.667000,140,0,0.18
1699826008402392,28,45000,190615,21.814000,221,0,0.14
1699826008432223,29,45000,169264,20.155000,221,0,0.17
1699826008468796,30,45000,138348,21.475000,240,0,0.05
1699826008498904,31,45000,152012,20.062000,240,0,0.16
1699826008537330,32,45000,196177,23.611000,246,0,0.07
1699826008567088,33,45000,229383,21.690000,263,0,0.05
1699826008608506,34,45000,245251,28.459000,295,0,0.03
1699826008636503,35,45000,198148,21.464000,295,0,0.03
1699826008673844,36,45000,199159,27.345000,429,0,0.15
1699826008702563,37,45000,151207,21.245000,429,0,0.15
1699826008734876,38,45000,231760,21.379000,433,0,0.07
1699826008767609,39,45000,234855,22.087000,472,0,0.07
1699826008806074,40,45000,147995,25.719000,515,0,0.10
1699826008833351,41,45000,173932,20.716000,515,0,0.10
1699826008868700,42,45000,193157,21.725000,524,0,0.10
1699826008904802,43,45000,146821,24.044000,591,0,0.05
1699826008937668,44,45000,267127,24.798000,591,0,0.13
1699826008970149,45,45000,243946,23.942000,661,0,0.11
1699826009000367,46,45000,234488,21.572000,693,0,0.04
1699826009036327,47,45000,250876,22.361000,751,0,0.08
1699826009070936,48,45000,166727,23.858000,818,0,0.10
1699826009098500,49,45000,119622,19.636000,818,0,0.19
1699826009137095,50,45000,185695,22.870000,840,0,0.08
1699826009169289,51,45000,212723,22.154000,840,0,0.16
1699826009200193,52,45000,176651,21.291000,865,0,0.05
1699826009236052,53,45000,212193,22.703000,870,0,0.08
1699826009269138,54,45000,213387,22.114000,900,0,0.02
1699826009300637,55,45000,180799,21.770000,910,0,0.06
1699826009334516,56,45000,213423,22.319000,910,0,0.06
